"Year","Name","Activity","Allocation","Value"
2010,"Little Knoll Greenhouses Limited","Fresh tomatoes",134,2355.72
2010,"MA & AM & EM Sanders Partnership","Fresh tomatoes",98,1722.84
2010,"Mengye Investments Limited","Fresh tomatoes",14,246.12
2010,"Myeong Ho Lee & Kyung Duk Hwang","Fresh tomatoes",15,263.7
2010,"Nagra Brothers Limited","Fresh tomatoes",31,544.98
2010,"New Zealand Fresh Floria Limited","Fresh tomatoes",20,351.6
2010,"Nortonta Limited","Fresh tomatoes",245,4307.1
2010,"P J & M J Fausett Partnership","Fresh tomatoes",41,720.78
2010,"Parkgard Growers 2000 Limited","Fresh tomatoes",23,404.34
2010,"Pomoana Gardens Limited","Fresh tomatoes",47,826.26
2010,"Rembrandt van Rijen Limited","Fresh tomatoes",694,12200.52
2010,"Status Produce Limited","Fresh tomatoes",3451,60668.58
2010,"TA & DM Turner","Fresh tomatoes",29,509.82
2010,"Tiny Toms Limited","Fresh tomatoes",27,474.66
2010,"Under Glass (Bombay) Limited","Fresh tomatoes",975,17140.5
2010,"Under Glass (Karaka) Limited","Fresh tomatoes",1333,23434.14
2010,"Vege Fresh Growers Limited","Fresh tomatoes",73,1283.34
2010,"Vicki Thresa Gargiulo & Michael Theodore Gargiulo","Fresh tomatoes",143,2513.94
2010,"Wa Chit Chan & Lai Ying Cuby Ng Partnership","Fresh tomatoes",22,386.76
2010,"Wilhelmus Jacobus Maria Zwart and Avis Maree Zwart","Fresh tomatoes",28,492.24
2010,"Won Ha Park and Ji-Im Park","Fresh tomatoes",28,492.24
2010,"GELITA NZ Limited","Gelatine",1531,26914.98
2010,"ACI Operations NZ Limited","Glass containers",14454,254101.32
2010,"Evonik Degussa Peroxide Limited","Hydrogen peroxide",5920,104073.6
2010,"New Zealand Steel Development Limited","Iron and steel from iron sand",494704,8696896.32
2010,"Fonterra Limited","Lactose",13418,235888.44
2010,"Carter Holt Harvey Pulp & Paper Limited","Market pulp",78896,1386991.68
2010,"Pan Pac Forest Products Limited","Market pulp",60593,1065224.94
2010,"Winstone Pulp International Limited","Market pulp",42254,742825.32
2010,"Methanex New Zealand Limited","Methanol",143074,2515240.92
2010,"Norske Skog Tasman Limited","Newsprint",122826,2159281.08
2010,"Carter Holt Harvey Limited","Packaging and industrial paper",10413,183060.54
2010,"Carter Holt Harvey Pulp & Paper Limited","Packaging and industrial paper",60562,1064679.96
2010,"Affco New Zealand Limited","Protein meal",2798,49188.84
2010,"Alliance Group Limited","Protein meal",2119,37252.02
2010,"Blue Sky Meats (N.Z.) Limited","Protein meal",113,1986.54
2010,"CMP Canterbury Limited","Protein meal",1141,20058.78
2010,"CMP Kokiri Limited","Protein meal",275,4834.5
2010,"Farm Brands Limited","Protein meal",1214,21342.12
2010,"Graeme Lowe Protein Limited","Protein meal",4041,71040.78
2010,"Hawkes Bay Protein Limited","Protein meal",1289,22660.62
2010,"Kakariki Proteins Limited","Protein meal",183,3217.14
2010,"Keep It Clean Limited","Protein meal",343,6029.94
2010,"PVL Proteins Limited","Protein meal",1083,19039.14
2010,"Silver Fern Farms Limited","Protein meal",2464,43317.12
2010,"Taranaki By-Products Limited","Protein meal",4008,70460.64
2010,"Taylor Preston Limited","Protein meal",542,9528.36
2010,"Tegel Foods Limited","Protein meal",404,7102.32
2010,"Value Proteins Limited","Protein meal",299,5256.42
2010,"Wallace Corporation Limited","Protein meal",3771,66294.18
2010,"Carter Holt Harvey Limited","Reconstituted wood panels",586,10301.88
2010,"Daiken New Zealand Limited","Reconstituted wood panels",4248,74679.84
2010,"Dongwha Patinna NZ Limited","Reconstituted wood panels",4284,75312.72
2010,"Fletcher Building Products Limited","Reconstituted wood panels",837,14714.46
2010,"Juken New Zealand Limited","Reconstituted wood panels",2459,43229.22
2010,"Nelson Pine Industries Limited","Reconstituted wood panels",7406,130197.48
2010,"SCA Hygiene Australasia Limited","Tissue paper",10942,192360.36
2010,"Fonterra Limited","Whey powder",888,15611.04
2011,"New Zealand Aluminium Smelters Limited","Aluminium smelting",437681,8683591.04
2011,"Holcim (New Zealand) Limited","Burnt lime",8310,164870.4
2011,"McDonald's Lime Limited","Burnt lime",99423,1972552.32
2011,"Perry Lime Limited","Burnt lime",154,3055.36
2011,"Perry Resources (2008) Limited","Burnt lime",7346,145744.64
2011,"Websters Hydrated Lime Company Limited","Burnt lime",2457,48746.88
2011,"Ballance Agri-Nutrients (Kapuni) Limited","Carbamide",119728,2375403.52
2011,"Fletcher Steel Limited","Carbon steel from cold ferrous feed",36095,716124.8
2011,"KiwiRail Limited","Carbon steel from cold ferrous feed",74,1468.16
2011,"Whakatane Mill Limited","Cartonboard",76828,1524267.52
2011,"Carter Holt Harvey Pulp & Paper Limited","Caustic soda",9150,181536
2011,"Fletcher Concrete and Infrastructure Limited","Cementitious products",251367,4987121.28
2011,"Holcim (New Zealand) Limited","Cementitious products",171167,3395953.28
2011,"Clay Bricks Limited","Clay bricks and field tiles",250,4960
2011,"CSR Building Products (NZ) Limited","Clay bricks and field tiles",1968,39045.12
2011,"Marton Brick & Tile Co Limited","Clay bricks and field tiles",120,2380.8
2011,"Franko Roses New Zealand Limited","Cut roses",129,2559.36
2011,"Jeffrey Guy Ward","Cut roses",74,1468.16
2011,"K. & L.Nurseries Limited","Cut roses",260,5158.4
2011,"Moffatts Flower Company Limited","Cut roses",732,14522.88
2011,"Paul Gregory Whitehead, Suzanne Marie Whitehead, John Hamilton Charles 
Falloon","Cut roses",53,1051.52
2011,"Riverland Nurseries Limited","Cut roses",555,11011.2
2011,"Robb TC & RA","Cut roses",110,2182.4
2011,"Royal Roses Limited","Cut roses",32,634.88
2011,"S & D Stocks","Cut roses",76,1507.84
2011,"Shipherd Nurseries Limited","Cut roses",746,14800.64
2011,"Theodorus Nicolaas Maria Jordens, Elisabeth Margi Jordens","Cut roses",24,476.16
2011,"Van Berlo Limited","Cut roses",132,2618.88
2011,"Van Lier Nurseries Limited","Cut roses",667,13233.28
2011,"Anchor Ethanol Limited","Ethanol",5278,104715.52
2011,"Appleby Fresh Limited","Fresh capsicums",51,1011.84
2011,"Buller Supplies Limited","Fresh capsicums",19,376.96
2011,"Flat-Tac Capsicums Limited","Fresh capsicums",140,2777.6
2011,"Gourmet Mokai Limited","Fresh capsicums",1601,31763.84
2011,"Gourmet Paprika Limited","Fresh capsicums",3483,69102.72
2011,"Harbour Head Growers Limited","Fresh capsicums",131,2599.04
2011,"Homestead Produce Limited","Fresh capsicums",579,11487.36
2011,"J.S. Ewers Limited","Fresh capsicums",588,11665.92
2011,"Kipps' Patch Limited","Fresh capsicums",32,634.88
2011,"M.C.H. & J. van Geest Nurseries Limited","Fresh capsicums",230,4563.2
2011,"Pieter and Maria Anna van der Gulik","Fresh capsicums",12,238.08
2011,"Poppas Peppers 2009 Limited","Fresh capsicums",200,3968
2011,"Sinai Hort Limited","Fresh capsicums",351,6963.84
2011,"Southern Paprika Limited","Fresh capsicums",4216,83645.44
2011,"The Chilli & Capsicum Company Limited","Fresh capsicums",34,674.56
2011,"Under Glass (Bombay) Limited","Fresh capsicums",300,5952
2011,"Under Glass (Karaka) Limited","Fresh capsicums",538,10673.92
2011,"Whakatane Growers Limited","Fresh capsicums",711,14106.24
2011,"Alwyn Ernest & Anne Marie Inger","Fresh cucumbers",355,7043.2
2011,"Bin Wang & Ying Zhou","Fresh cucumbers",96,1904.64
2011,"Exception Limited","Fresh cucumbers",1562,30990.08
2011,"Hanna Hothouses Limited","Fresh cucumbers",193,3829.12
2011,"Hedger Greenhouse Ltd","Fresh cucumbers",59,1170.56
2011,"Hope Hot House Limited","Fresh cucumbers",105,2083.2
2011,"Island Horticulture Limited","Fresh cucumbers",659,13074.56
2011,"J.S. Ewers Limited","Fresh cucumbers",222,4404.48
2011,"Jai Shankar Growers Limited","Fresh cucumbers",207,4106.88
2011,"Karaka Park Produce Limited","Fresh cucumbers",345,6844.8
2011,"Parkgard Growers 2000 Limited","Fresh cucumbers",63,1249.92
2011,"PFD Produce Ltd","Fresh cucumbers",157,3114.88
2011,"Pieter and Maria Anna van der Gulik","Fresh cucumbers",11,218.24
2011,"Quality Food Processors Limited","Fresh cucumbers",141,2797.44
2011,"R K & M D Sharma","Fresh cucumbers",890,17657.6
2011,"Sharma Produce Limited","Fresh cucumbers",166,3293.44
2011,"Under Glass (Bombay) Limited","Fresh cucumbers",1400,27776
2011,"Yearbury Holdings Limited","Fresh cucumbers",229,4543.36
2011,"A J & J E Ivicevich","Fresh tomatoes",96,1904.64
2011,"Castle Rock Orchard Limited","Fresh tomatoes",374,7420.16
2011,"Dale Calderwood Frost & Elizabeth Kay Frost","Fresh tomatoes",28,555.52
2011,"DE Bone & JA Duffy Partnership","Fresh tomatoes",6,119.04
2011,"Dong Hyuk Cha & Soo Hwan Cha","Fresh tomatoes",25,496
2011,"Edward Malcolm Duncan & Desma Claire Duncan","Fresh tomatoes",11,218.24
2011,"F and B Abma","Fresh tomatoes",161,3194.24
2011,"Far Out Tomatoes 2003 Limited","Fresh tomatoes",132,2618.88
2011,"Faye Elizabeth Ormandy & Graeme Jaxon Ormandy","Fresh tomatoes",87,1726.08
2011,"Gordon Edward Hackett","Fresh tomatoes",10,198.4
2011,"Gourmet Mokai Limited","Fresh tomatoes",1330,26387.2
2011,"Graeme David Fair & Ann Christine Fair","Fresh tomatoes",7,138.88
2011,"Great Lake Tomatoes Limited","Fresh tomatoes",1964,38965.76
2011,"Han Jeon Kang, Jae Rang Kang","Fresh tomatoes",26,515.84
2011,"Hanna Hothouses Limited","Fresh tomatoes",306,6071.04
2011,"Il Kyu Ahn","Fresh tomatoes",32,634.88
2011,"KF & HJ Petrie","Fresh tomatoes",306,6071.04
2011,"J.S. Ewers Limited","Fresh tomatoes",2287,45374.08
2011,"Jae Young Hong, Sun Young Park","Fresh tomatoes",73,1448.32
2011,"Karamea Tomatoes Limited","Fresh tomatoes",397,7876.48
2011,"Kingbridge Limited","Fresh tomatoes",48,952.32
2011,"Kyoung Lae Lee, Hye Young Jung","Fresh tomatoes",77,1527.68
2011,"Lee Wang Hothouse Limited","Fresh tomatoes",19,376.96
2011,"Little Knoll Greenhouses Limited","Fresh tomatoes",260,5158.4
2011,"MA & AM & EM Sanders Partnership","Fresh tomatoes",276,5475.84
2011,"Mengye Investments Limited","Fresh tomatoes",34,674.56
2011,"New Zealand Fresh Floria Limited","Fresh tomatoes",28,555.52
2011,"Nortonta Limited","Fresh tomatoes",451,8947.84
2011,"P H Kinzett Limited","Fresh tomatoes",688,13649.92
2011,"P J & M J Fausett Partnership","Fresh tomatoes",73,1448.32
2011,"Parkgard Growers 2000 Limited","Fresh tomatoes",46,912.64
2011,"Pieter and Maria Anna van der Gulik","Fresh tomatoes",9,178.56
2011,"Pilcher Farms (Produce) Limited","Fresh tomatoes",18,357.12
2011,"Pomoana Gardens Limited","Fresh tomatoes",122,2420.48
2011,"Rembrandt van Rijen Limited","Fresh tomatoes",1178,23371.52
2011,"Reupena Kovati & Eseta Kovati","Fresh tomatoes",16,317.44
2011,"Status Produce Limited","Fresh tomatoes",6870,136300.8
2011,"Steven Edward & Judith Kaye McArthur","Fresh tomatoes",2,39.68
2011,"TA & DM Turner","Fresh tomatoes",46,912.64
2011,"Ting-Yuan Robert Wu","Fresh tomatoes",70,1388.8
2011,"Tiny Toms Limited","Fresh tomatoes",52,1031.68
2011,"Under Glass (Bombay) Limited","Fresh tomatoes",1646,32656.64
2011,"Under Glass (Karaka) Limited","Fresh tomatoes",3095,61404.8
2011,"Vege Fresh Growers Limited","Fresh tomatoes",132,2618.88
2011,"Vicki Thresa Gargiulo & Michael Theodore Gargiulo","Fresh tomatoes",278,5515.52
2011,"Wa Chit Chan & Lai Ying Cuby Ng Partnership","Fresh tomatoes",34,674.56
2011,"Won Ha Park and Ji-Im Park","Fresh tomatoes",58,1150.72
2011,"GELITA NZ Limited","Gelatine",2737,54302.08
2011,"ACI Operations New Zealand Limited","Glass containers",30682,608730.88
2011,"Evonik Degussa Peroxide Limited","Hydrogen peroxide",10184,202050.56
2011,"New Zealand Steel Development Limited","Iron and steel from iron sand",989304,19627791.36
2011,"Fonterra Limited","Lactose",21290,422393.6
2011,"Carter Holt Harvey Pulp & Paper Limited","Market pulp",138613,2750081.92
2011,"Pan Pac Forest Products Limited","Market pulp",117962,2340366.08
2011,"Winstone Pulp International Limited","Market pulp",83617,1658961.28
2011,"Methanex New Zealand Limited","Methanol",294153,5835995.52
2011,"Norske Skog Tasman Limited","Newsprint",237752,4716999.68
2011,"Carter Holt Harvey Limited","Packaging and industrial paper",21064,417909.76
2011,"Carter Holt Harvey Pulp & Paper Limited","Packaging and industrial paper",120938,2399409.92
2011,"AFFCO New Zealand Limited","Protein meal",6302,125031.68
2011,"Alliance Group Limited","Protein meal",6646,131856.64
2011,"Blue Sky Meats (N.Z.) Limited","Protein meal",410,8134.4
2011,"CMP Canterbury Limited","Protein meal",3260,64678.4
2011,"CMP Kokiri Limited","Protein meal",797,15812.48
2011,"Farm Brands Limited","Protein meal",2754,54639.36
2011,"Graeme Lowe Protein Limited","Protein meal",8463,167905.92
2011,"Hawkes Bay Protein Limited","Protein meal",2059,40850.56
2011,"Kakariki Proteins Limited","Protein meal",393,7797.12
2011,"Keep It Clean Limited","Protein meal",1231,24423.04
2011,"Prime Range Meats Limited","Protein meal",468,9285.12
2011,"PVL Proteins Limited","Protein meal",2213,43905.92
2011,"Silver Fern Farms Limited","Protein meal",6864,136181.76
2011,"Taranaki By-Products Limited","Protein meal",8707,172746.88
2011,"Taylor Preston Limited","Protein meal",1202,23847.68
2011,"Tegel Foods Limited","Protein meal",808,16030.72
2011,"Value Proteins Limited","Protein meal",668,13253.12
2011,"Wallace Corporation Limited","Protein meal",7281,144455.04
2011,"Carter Holt Harvey Limited","Reconstituted wood panels",1027,20375.68
2011,"Daiken New Zealand Limited","Reconstituted wood panels",9030,179155.2
2011,"Dongwha Patinna NZ Limited","Reconstituted wood panels",8340,165465.6
2011,"Fletcher Building Products Limited","Reconstituted wood panels",1854,36783.36
2011,"Juken New Zealand Limited","Reconstituted wood panels",5359,106322.56
2011,"Nelson Pine Industries Limited","Reconstituted wood panels",15094,299464.96
2011,"SCA Hygiene Australasia Limited","Tissue paper",21756,431639.04
2011,"Fonterra Limited","Whey powder",1066,21149.44
2012,"New Zealand Aluminium Smelters Limited","Aluminium smelting",301244,1876750.12
2012,"Holcim (New Zealand) Limited","Burnt lime",7676,47821.48
2012,"McDonald's Lime Limited","Burnt lime",96536,601419.28
2012,"Perry Lime Limited","Burnt lime",4644,28932.12
2012,"Websters Hydrated Lime Company Limited","Burnt lime",1987,12379.01
2012,"Ballance Agri-Nutrients (Kapuni) Limited","Carbamide",143065,891294.95
2012,"Fletcher Steel Limited","Carbon steel from cold ferrous feed",37616,234347.68
2012,"KiwiRail Limited","Carbon steel from cold ferrous feed",60,373.8
2012,"Whakatane Mill Limited","Cartonboard",79480,495160.4
2012,"Carter Holt Harvey Pulp & Paper Limited","Caustic soda",9989,62231.47
2012,"Fletcher Concrete and Infrastructure Limited","Cementitious products",278421,1734562.83
2012,"Holcim (New Zealand) Limited","Cementitious products",174223,1085409.29
2012,"Clay Bricks Limited","Clay bricks and field tiles",320,1993.6
2012,"CSR Building Products (NZ) Ltd","Clay bricks and field tiles",2479,15444.17
2012,"Franko Roses New Zealand Limited","Cut roses",97,604.31
2012,"Jeffrey Guy Ward","Cut roses",77,479.71
2012,"K & L Nurseries Limited","Cut roses",260,1619.8
2012,"Moffatts Flower Company Limited","Cut roses",764,4759.72
2012,"Paul Gregory Whitehead, Suzanne Marie Whitehead, John Hamilton Charles 
Falloon","Cut roses",43,267.89
2012,"Riverland Nurseries Limited","Cut roses",543,3382.89
2012,"Robb TC & RA","Cut roses",97,604.31
2012,"Royal Roses Limited","Cut roses",33,205.59
2012,"S & D Stocks","Cut roses",73,454.79
2012,"Shipherd Nurseries Limited","Cut roses",675,4205.25
2012,"Theodorus Nicolaas Maria Jordens, Elisabeth Margi Jordens","Cut roses",24,149.52
2012,"Van Berlo Limited","Cut roses",154,959.42
2012,"Van Lier Nurseries Limited","Cut roses",666,4149.18
2012,"Anchor Ethanol Limited","Ethanol",5699,35504.77
2012,"Appleby Fresh Limited","Fresh capsicums",28,174.44
2012,"Flat-Tac Capsicums Limited","Fresh capsicums",150,934.5
2012,"Gourmet Mokai Limited","Fresh capsicums",1721,10721.83
2012,"Gourmet Paprika Limited","Fresh capsicums",3520,21929.6
2012,"Harbour Head Growers Limited","Fresh capsicums",139,865.97
2012,"Homestead Produce Limited","Fresh capsicums",606,3775.38
2012,"J.S. Ewers Limited","Fresh capsicums",553,3445.19
2012,"Kipps' Patch Limited","Fresh capsicums",25,155.75
2012,"M & T Matthews Partnership","Fresh capsicums",13,80.99
2012,"M.C.H. & J. van Geest Nurseries Limited","Fresh capsicums",195,1214.85
2012,"Pieter and Maria Anna van der Gulik","Fresh capsicums",13,80.99
2012,"Poppas Peppers 2009 Limited","Fresh capsicums",220,1370.6
2012,"Sinai Hort Limited","Fresh capsicums",371,2311.33
2012,"Southern Paprika Limited","Fresh capsicums",4998,31137.54
2012,"The Chilli & Capsicum Company Limited","Fresh capsicums",20,124.6
2012,"Under Glass (Bombay) Limited","Fresh capsicums",200,1246
2012,"Under Glass (Karaka) Limited","Fresh capsicums",768,4784.64
2012,"Whakatane Growers Limited","Fresh capsicums",705,4392.15
2012,"Alwyn Ernest & Anne Marie Inger","Fresh cucumbers",297,1850.31
2012,"B S & P K Singh","Fresh cucumbers",122,760.06
2012,"Exception Limited","Fresh cucumbers",1944,12111.12
2012,"Hanna Hothouses Limited","Fresh cucumbers",225,1401.75
2012,"Hope Hot House Limited","Fresh cucumbers",90,560.7
2012,"J.S. Ewers Limited","Fresh cucumbers",106,660.38
2012,"Jai Shankar Growers Limited","Fresh cucumbers",197,1227.31
2012,"Karaka Park Produce Limited","Fresh cucumbers",426,2653.98
2012,"Parkgard Growers 2000 Limited","Fresh cucumbers",47,292.81
2012,"PFD Produce Limited","Fresh cucumbers",153,953.19
2012,"Pieter and Maria Anna van der Gulik","Fresh cucumbers",12,74.76
2012,"R K & M D Sharma","Fresh cucumbers",1143,7120.89
2012,"Sharma Produce Limited","Fresh cucumbers",518,3227.14
2012,"Under Glass (Bombay) Limited","Fresh cucumbers",1567,9762.41
2012,"A J & J E Ivicevich","Fresh tomatoes",119,741.37
2012,"Castle Rock Orchard Limited","Fresh tomatoes",292,1819.16
2012,"Dale Calderwood Frost & Elizabeth Kay Frost","Fresh tomatoes",31,193.13
2012,"Dong Hyuk Cha & Soo Hwan Cha","Fresh tomatoes",1,6.23
2012,"Edward Malcolm Duncan & Desma Claire Duncan","Fresh tomatoes",16,99.68
2012,"F and B Abma","Fresh tomatoes",155,965.65
2012,"Gordon Edward Hackett","Fresh tomatoes",10,62.3
2012,"Gourmet Mokai Limited","Fresh tomatoes",1457,9077.11
2012,"Graeme David Fair & Ann Christine Fair","Fresh tomatoes",6,37.38
2012,"Great Lake Tomatoes Limited","Fresh tomatoes",2001,12466.23
2012,"Hanna Hothouses Limited","Fresh tomatoes",292,1819.16
2012,"Il Kyu Ahn","Fresh tomatoes",65,404.95
2012,"J.S. Ewers Limited","Fresh tomatoes",2460,15325.8
2012,"Jae Young Hong, Sun Young Park","Fresh tomatoes",66,411.18
2012,"Jai Shankar Growers Limited","Fresh tomatoes",15,93.45
2012,"K F & H J Petrie","Fresh tomatoes",312,1943.76
2012,"Karamea Tomatoes Limited","Fresh tomatoes",299,1862.77
2012,"Kingbridge Limited","Fresh tomatoes",45,280.35
2012,"Kyoung Lae Lee, Hye Young Jung","Fresh tomatoes",66,411.18
2012,"Lee Wang Hothouse Limited","Fresh tomatoes",83,517.09
2012,"Lycopene Fresh Vegefruit Ltd","Fresh tomatoes",35,218.05
2012,"MA & AM & EM Sanders Partnership","Fresh tomatoes",305,1900.15
2012,"New Zealand Fresh Floria Limited","Fresh tomatoes",26,161.98
2012,"Nortonta Limited","Fresh tomatoes",471,2934.33
2012,"P H Kinzett Limited","Fresh tomatoes",624,3887.52
2012,"P J & M J Fausett Partnership","Fresh tomatoes",79,492.17
2012,"Parkgard Growers 2000 Limited","Fresh tomatoes",60,373.8
2012,"Pieter and Maria Anna van der Gulik","Fresh tomatoes",11,68.53
2012,"Pomoana Gardens Limited","Fresh tomatoes",119,741.37
2012,"Rembrandt van Rijen Limited","Fresh tomatoes",1183,7370.09
2012,"Reupena Kovati & Eseta Kovati","Fresh tomatoes",16,99.68
2012,"Status Produce Limited","Fresh tomatoes",6753,42071.19
2012,"TA & DM Turner","Fresh tomatoes",56,348.88
2012,"Ting-Yuan Robert Wu","Fresh tomatoes",71,442.33
2012,"Tiny Toms Limited","Fresh tomatoes",64,398.72
2012,"Under Glass (Bombay) Limited","Fresh tomatoes",1611,10036.53
2012,"Under Glass (Karaka) Limited","Fresh tomatoes",2568,15998.64
2012,"Vege Fresh Growers Limited","Fresh tomatoes",133,828.59
2012,"Vicki Thresa Gargiulo & Michael Theodore Gargiulo","Fresh tomatoes",282,1756.86
2012,"Wa Chit Chan & Lai Ying Cuby Ng Partnership","Fresh tomatoes",34,211.82
2012,"Won Ha Park and Ji-Im Park","Fresh tomatoes",37,230.51
2012,"GELITA NZ Limited","Gelatine",2917,18172.91
2012,"ACI Operations New Zealand Limited","Glass containers",32992,205540.16
2012,"Evonik Peroxide Limited","Hydrogen peroxide",10081,62804.63
2012,"New Zealand Steel Development Limited","Iron and steel from iron sand",1003730,6253237.9
2012,"Fonterra Limited","Lactose",25210,157058.3
2012,"Carter Holt Harvey Pulp & Paper Limited","Market pulp",145839,908576.97
2012,"Pan Pac Forest Products Limited","Market pulp",108047,673132.81
2012,"Winstone Pulp International Limited","Market pulp",87125,542788.75
2012,"Methanex New Zealand Limited","Methanol",390325,2431724.75
2012,"Norske Skog Tasman Limited","Newsprint",215711,1343879.53
